,,Description,,
1,Rev.,Page,Date,Summary
2,1.00,-,Oct.12.21,Added support for FSP v3.4.0 (1).
3,1.01,-,Oct.20.21,"Added support for FSP v3.4.0 (2).
:selected:"
4,1.02,-,Dec.20.21,Added support for FSP v3.5.0 (2).
5,1.03,-,Feb.08.22,Added support for FSP v3.5.0 (3).
6,1.04,-,Mar.21.22,Added support for FSP v3.6.0.
7,1.05,-,Apr.11.22,"Added support for FSP v3.6.0 (2).
:selected:"
8,1.06,-,Jul.18.22,Added support for FSP v3.8.0 (1).
9,1.07,-,Aug.11.22,"Added support for FSP v3.8.0 (2).
:selected:"
10,1.08,-,Sep.20.22,Added support for FSP v4.0.0.
11,1.09,-,Oct.17.22,"Added support for FSP v4.0.0 (2).
:selected:"
12,1.10,-,Nov.14.22,Added support for FSP v4.1.0 (1).
13,1.11,-,Dec.01.22,"Added support for FSP v4.1.0 (2).
:selected:"
14,1.12,-,Jan.10.23,Added support for FSP v4.2.0 (1).
15,1.13,-,Mar.23.24,"Added support for FSP v4.3.0 (2).
:unselected:"
16,1.14,-,Apr.28.23,Added support for FSP v4.4.0 (1).
17,1.15,-,Jun.01.23,"Added support for FSP v4.4.0 (2).
:selected:"
18,1.16,-,Jul.17.23,Added support for FSP v4.5.0 (1).
19,1.17,-,Sep.18.23,"Added support for FSP v4.5.0 (2).
:selected:"
20,1.18,-,Sep.26.23,"Added support for FSP v4.6.0 (1).
:unselected:"
21,1.19,-,Oct.23.23,"Added support for FSP v4.6.0 (2).
:selected:"
22,1.20,-,Nov.06.23,"Added support for FSP v5.0.0 (2).
:selected:"
23,1.21,-,Dec.05.23,"Added support for FSP v5.0.0 (3).
:selected:"
24,1.22,-,Dec.19.23,"Added support for FSP v5.1.0 (2).
:selected:"
